trigram,frequency,percentage
daf,7627,0.000838026700385512
Fri,7601,0.000835169916039108
Mün,7599,0.000834950163397077
Nie,7595,0.0008345106581130148
Anf,7592,0.0008341810291499682
Mei,7580,0.0008328625132977817
dür,7566,0.0008313242448035642
Erf,7556,0.0008302254815934088
Flu,7550,0.0008295662236673156
San,7543,0.0008287970894202068
Spe,7520,0.0008262699340368494
Wes,7513,0.0008255007997897407
Bez,7513,0.0008255007997897407
gep,7502,0.0008242921602585698
Vol,7494,0.0008234131496904454
Gef,7489,0.0008228637680853677
Fam,7485,0.0008224242628013056
bel,7447,0.0008182489626027151
get,7436,0.0008170403230715442
Ser,7299,0.0008019872670924154
alt,7296,0.0008016576381293688
ern,7294,0.0008014378854873378
Beg,7287,0.000800668751240229
dav,7262,0.0007979218432148406
wär,7252,0.0007968230800046852
Tre,7238,0.0007952848115104676
ans,7232,0.0007946255535843744
Obe,7230,0.0007944058009423432
ehe,7204,0.0007915490165959393
Sol,7182,0.0007891317375335974
Mic,7164,0.0007871539637553177
spä,7139,0.0007844070557299292
Dem,7134,0.0007838576741248515
näc,7099,0.0007800120028893078
per,7094,0.0007794626212842301
Kat,7072,0.0007770453422218882
Wol,7067,0.0007764959606168105
gek,7045,0.0007740786815544687
fün,7030,0.0007724305367392356
Zie,7001,0.0007692441234297849
frü,6977,0.0007666070917254121
Men,6969,0.0007657280811572877
Ren,6942,0.0007627614204898682
bez,6918,0.0007601243887854953
als,6909,0.0007591355018963554
Gre,6902,0.0007583663676492467
Mas,6884,0.0007563885938709669
Tor,6881,0.0007560589649079204
Sep,6841,0.0007516639120672988
Sai,6777,0.0007446318275223043
Nov,6748,0.0007414454142128538
woh,6746,0.0007412256615708226
inn,6735,0.0007400170220396517
Bew,6724,0.0007388083825084808
rei,6706,0.0007368306087302011
Kam,6705,0.0007367207324091856
Dar,6686,0.0007346330823098903
Dam,6675,0.0007334244427787194
Res,6652,0.0007308972873953621
Wil,6639,0.00072946889522216
Put,6624,0.0007278207504069269
Tie,6616,0.0007269417398388027
vol,6610,0.0007262824819127095
Mat,6602,0.0007254034713445851
Exp,6602,0.0007254034713445851
hal,6593,0.0007244145844554452
und,6577,0.0007226565633191966
Sel,6567,0.0007215578001090413
Sit,6534,0.0007179318815155285
set,6524,0.0007168331183053731
Inn,6518,0.0007161738603792798
ihm,6507,0.0007149652208481089
fas,6491,0.0007132071997118603
Ihr,6475,0.0007114491785756117
Mod,6459,0.0007096911574393631
Auß,6440,0.0007076035073400679
Som,6424,0.0007058454862038193
Sen,6420,0.0007054059809197571
mic,6404,0.0007036479597835085
Fol,6400,0.0007032084544994463
Bad,6378,0.0007007911754371045
err,6367,0.0006995825359059336
müs,6345,0.0006971652568435917
Län,6333,0.0006958467409914052
200,6292,0.0006913418118297682
hie,6286,0.000690682553903675
Sac,6281,0.0006901331722985973
reg,6253,0.0006870566353101621
Bel,6238,0.000685408490494929
Dre,6236,0.000685188737852898
wäh,6220,0.0006834307167166494
hoh,6215,0.0006828813351115717
Bre,6175,0.0006784862822709502
Fil,6165,0.0006773875190607948
Meh,6160,0.0006768381374557171
Okt,6148,0.0006755196216035307
Tes,6147,0.0006754097452825151
ric,6136,0.0006742011057513441
Art,6129,0.0006734319715042354
Hil,6127,0.0006732122188622044
Hol,6024,0.0006618949577976038
Fer,6022,0.0006616752051555728
dem,6006,0.0006599171840193242
Wor,5960,0.0006548628732526094
Lag,5954,0.0006542036153265162
mal,5941,0.0006527752231533142
ukr,5940,0.0006526653468322986
Pet,5933,0.0006518962125851899
Pun,5916,0.0006500283151279257
Bah,5908,0.0006491493045598014
abs,5894,0.0006476110360655839
Bar,5875,0.0006455233859662886
Dur,5855,0.0006433258595459778
zug,5850,0.0006427764779409001
Bis,5838,0.0006414579620887137
Red,5829,0.0006404690751995738
Bli,5791,0.0006362937750009834
Zug,5784,0.0006355246407538746
Dab,5772,0.0006342061249016882
Dez,5767,0.0006336567432966105
zwa,5766,0.000633546866975595
Nic,5762,0.0006331073616915328
tro,5732,0.0006298110720610666
Rol,5731,0.0006297011957400511
dri,5723,0.0006288221851719267
100,5721,0.0006286024325298957
ung,5683,0.0006244271323313052
Fan,5677,0.000623767874405212
Not,5645,0.0006202518321327148
zuf,5630,0.0006186036873174817
Chi,5626,0.0006181641820334195
nah,5613,0.0006167357898602176
Apr,5585,0.0006136592528717824
zun,5576,0.0006126703659826426
nat,5533,0.0006079456841789745
Pat,5527,0.0006072864262528813
Kle,5513,0.0006057481577586637
Beh,5511,0.0006055284051166327
